item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/16),-,1일전 (01/15),"3,151",1주일전 (01/09),-,2주일전 (01/02),-,1개월전,298,1년전,281,일평년,308,2021-01-16
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/16),-,1일전 (01/15),"2,494",1주일전 (01/09),-,2주일전 (01/02),-,1개월전,220,1년전,216,일평년,237,2021-01-16
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/18),"2,992",1일전 (01/17),-,1주일전 (01/11),"2,987",2주일전 (01/04),"2,993",1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-18
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/18),"6,148",1일전 (01/17),-,1주일전 (01/11),"5,979",2주일전 (01/04),"5,958",1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-18
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/18),"4,615",1일전 (01/17),-,1주일전 (01/11),"4,562",2주일전 (01/04),"4,557",1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-18
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/18),"3,184",1일전 (01/17),-,1주일전 (01/11),"3,152",2주일전 (01/04),"3,035",1개월전,298,1년전,281,일평년,308,2021-01-18
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/18),"2,371",1일전 (01/17),-,1주일전 (01/11),"2,469",2주일전 (01/04),"2,156",1개월전,220,1년전,216,일평년,237,2021-01-18
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/19),"2,993",1일전 (01/18),"2,992",1주일전 (01/12),"2,986",2주일전 (01/05),"2,994",1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-19
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/19),"6,156",1일전 (01/18),"6,148",1주일전 (01/12),"6,035",2주일전 (01/05),"5,958",1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-19
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/19),"4,640",1일전 (01/18),"4,615",1주일전 (01/12),"4,562",2주일전 (01/05),"4,557",1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-19
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/19),"3,169",1일전 (01/18),"3,184",1주일전 (01/12),"3,175",2주일전 (01/05),"2,916",1개월전,298,1년전,281,일평년,308,2021-01-19
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/19),"2,404",1일전 (01/18),"2,371",1주일전 (01/12),"2,411",2주일전 (01/05),"2,156",1개월전,220,1년전,216,일평년,237,2021-01-19
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/20),"2,996",1일전 (01/19),"2,993",1주일전 (01/13),"2,993",2주일전 (01/06),"2,993",1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-20
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/20),"6,213",1일전 (01/19),"6,156",1주일전 (01/13),"6,042",2주일전 (01/06),"5,931",1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-20
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/20),"4,691",1일전 (01/19),"4,640",1주일전 (01/13),"4,587",2주일전 (01/06),"4,557",1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-20
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/20),"3,236",1일전 (01/19),"3,169",1주일전 (01/13),"3,185",2주일전 (01/06),"3,141",1개월전,298,1년전,281,일평년,308,2021-01-20
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/20),"2,457",1일전 (01/19),"2,404",1주일전 (01/13),"2,411",2주일전 (01/06),"2,353",1개월전,220,1년전,216,일평년,237,2021-01-20
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/21),"2,999",1일전 (01/20),"2,996",1주일전 (01/14),"2,990",2주일전 (01/07),"2,985",1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-21
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/21),"6,369",1일전 (01/20),"6,213",1주일전 (01/14),"6,114",2주일전 (01/07),"5,979",1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-21
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/21),"4,781",1일전 (01/20),"4,691",1주일전 (01/14),"4,599",2주일전 (01/07),"4,562",1개월전,"4,614",1년전,"3,586",일평년,"3,644",2021-01-21
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/21),"3,257",1일전 (01/20),"3,236",1주일전 (01/14),"3,155",2주일전 (01/07),"3,262",1개월전,296,1년전,318,일평년,322,2021-01-21
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/21),"2,469",1일전 (01/20),"2,457",1주일전 (01/14),"2,517",2주일전 (01/07),"2,353",1개월전,219,1년전,235,일평년,248,2021-01-21
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/22),"2,998",1일전 (01/21),"2,999",1주일전 (01/15),"2,992",2주일전 (01/08),"2,987",1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-22
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/22),"6,389",1일전 (01/21),"6,369",1주일전 (01/15),"6,122",2주일전 (01/08),"5,979",1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-22
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/22),"4,862",1일전 (01/21),"4,781",1주일전 (01/15),"4,599",2주일전 (01/08),"4,562",1개월전,"4,614",1년전,"3,586",일평년,"3,644",2021-01-22
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/22),"3,266",1일전 (01/21),"3,257",1주일전 (01/15),"3,151",2주일전 (01/08),"3,268",1개월전,296,1년전,318,일평년,322,2021-01-22
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/22),"2,469",1일전 (01/21),"2,469",1주일전 (01/15),"2,494",2주일전 (01/08),"2,353",1개월전,219,1년전,235,일평년,248,2021-01-22
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/23),-,1일전 (01/22),"2,998",1주일전 (01/16),-,2주일전 (01/09),-,1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-23
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/23),-,1일전 (01/22),"6,389",1주일전 (01/16),-,2주일전 (01/09),-,1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-23
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/23),-,1일전 (01/22),"4,862",1주일전 (01/16),-,2주일전 (01/09),-,1개월전,"4,614",1년전,"3,586",일평년,"3,644",2021-01-23
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/23),-,1일전 (01/22),"3,266",1주일전 (01/16),-,2주일전 (01/09),-,1개월전,296,1년전,318,일평년,322,2021-01-23
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/23),-,1일전 (01/22),"2,469",1주일전 (01/16),-,2주일전 (01/09),-,1개월전,219,1년전,235,일평년,248,2021-01-23
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/25),"2,998",1일전 (01/24),-,1주일전 (01/18),"2,992",2주일전 (01/11),"2,987",1개월전,"60,487",1년전,"51,662",일평년,"45,944",2021-01-25
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/25),"6,484",1일전 (01/24),-,1주일전 (01/18),"6,148",2주일전 (01/11),"5,979",1개월전,"5,867",1년전,"4,153",일평년,"4,405",2021-01-25
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/25),"5,076",1일전 (01/24),-,1주일전 (01/18),"4,615",2주일전 (01/11),"4,562",1개월전,"4,614",1년전,"3,586",일평년,"3,644",2021-01-25
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/25),"3,319",1일전 (01/24),-,1주일전 (01/18),"3,184",2주일전 (01/11),"3,152",1개월전,296,1년전,318,일평년,322,2021-01-25
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/25),"2,469",1일전 (01/24),-,1주일전 (01/18),"2,371",2주일전 (01/11),"2,469",1개월전,219,1년전,235,일평년,248,2021-01-25
